ID,Ammo Symbol,Name,Price,Availability,Crafting Difficulty,Description,Effect,Image,Weight
1,AMMO_22,.22 LR (Long Rifle),2,60,PROBLEMATIC,"To są niby naboje do broni palnej, ale raczej trudno jest czymś takim kogoś zabić. Może nawet nie przebić czaszki! Jeśli jednak chcesz upolować szczura bez mordęgi i wydawania kupy gambli na inne naboje, to proszę bardzo. Ale pamiętaj, żeby wyciągnąć spluwę na coś mocniejszego niż .22 LR, kiedy wyjedzie na ciebie z rykiem opancerzona półciężarówka.",,,
2,AMMO_32ACP,.32 ACP – Automatic Colt Pistol,3,45,PROBLEMATIC,"7,65 × 17 mm SR Browning – (inna nazwa .32 ACP – Automatic Colt Pistol) nabój opracowany przez Johna M. Browninga do pistoletu M1897 jednego z pierwszych w pełni udanych pistoletów samopowtarzalnych.",,,
3,AMMO_303,".303""",5,35,HARD,".303 British – brytyjski nabój karabinowy wprowadzony do uzbrojenia armii brytyjskiej w 1888 roku jednocześnie z karabinem Lee-Metford.

Nabój .303 był początkowo elaborowany prochem czarnym, ale już w 1891 roku powstała jego wersja elaborowana kordytem. Zmiana materiału miotającego wymusiła dokonanie zmian w karabinie i w rezultacie w 1895 roku do uzbrojenia przyjęto karabin Lee-Enfield zasilany amunicją .303 British elaborowana prochem bezdymnym.",,,
4,AMMO_357,.357 Magnum,2,50,HARD,"Słabszy od czterdziestki czwórki – trzeba uważniej celować. To w zasadzie potężniejszy .38 Special. Rewolwer, który może strzelać nabojami .357. Powinien dać sobie radę także ze Special, bo to ta sama średnica łuski i pocisku. Ale uważaj! W drugą stronę to nie działa! Naboi .357 Magnum nie wepchniesz do bębenka rewolweru strzelającego amunicją .38 Special. Nie wejdą – koniec, kropka!",,,
5,AMMO_38,.38 Special,2,50,PROBLEMATIC,"Bardzo popularne wśród przeciętniaków. Strzelają nimi głównie małe rewolwery, służące do samoobrony. Nie powalą słonia, nie przebiją kamizelki kuloodpornej, ale krzywdę zrobić potrafią. Są tanie, łatwe do zrobienia, pasują do popularnych gnatów. To drugie z najpopularniejszych naboi do broni krótkiej w ZSA.",,,
6,AMMO_4440,.44-40 WCF,2,25,PROBLEMATIC,"Z tymi nabojem jest tak, że łatwiej go zrobić samemu, niż znaleźć. Serio! Replika “Pissmakera” na te naboje nie była zbyt popularną w XXI wieku bronią. Tak samo naboje. Ale trzeba przyznać, że działają jak trzeba. Jak gościa trafisz, to leży i kwiczy.",,,
7,AMMO_44,.44 Magnum,3,40,HARD,"Jest to dwudziestka dziewiątka Magnum 44, najpotężniejszy rewolwer na świecie, ten ci odstrzeli całą głowę”. Tak powiedział kiedyś najsławniejszy amerykański glina. Nie znał się na balistyce, bo pocisk .44 odstrzeli ci najwyżej pół głowy…",,,
8,AMMO_50AE,.50 Action Express (AE),6,10,VHARD,To nie nabój – to cholerna lokomotywa! Ciągnie za sobą śmierć i zniszczenie!,,,
9,AMMO_50BMG,".50"" BMG",5,30,VHARD,"To jest to, czego maszyny nie lubią najbardziej. Wystrzelony z dobrego karabinu rozpędza się do prędkości 850 metrów na sekundę. Waży przy tym tyle co snickers, a chyba nie chciałbyś oberwać pełnopłaszczowym snickersem lecącym z naddźwiękową prędkością, co? No, ale do byle karabinu nie załadujesz takich naboi. Na przykład M82A1 waży piętnaście kilogramów, więc nie postrzelasz sobie z niego z biodra. Kolba kopie cię nawet jak walisz z dwójnoga. Ale co ty? Worków z cementem nigdy nie nosiłeś?",,,
10,AMMO_SH_12,12 gauge,2,60,AVERAGE,"Są to najpopularniejsze naboje do broni długiej w całych Stanach. Do wyboru masz zarówno śrut, jak i brenekę. Ale to nie wszystkie rodzaje pocisków, jakie da się wsadzić do tego naboju. Można używać nawet skrawków metalu i tym podobnego syfu. Znacznie zmniejsza to wtedy zasięg, ale rany po trafieniu takim wynalazkiem nie goją się. Bo jak niby na trupie mają się goić rany?",,,
11,AMMO_47,"4,7 mm",6,15,XHARD,"Dzieciaku! Za garść tych naboi masz u mnie butelkę, choćby i Coca-Coli! Na pierwszy rzut oka wcale nie wyglądają jak naboje. To takie małe bloczki, zrobione z ładunku wybuchowego. W środku takiego opakowania siedzi pocisk. Nie ma łuski, więc nie ma czego napełniać… Będziesz musiał się zaopatrzyć w przedwojenną amunicję, albo odwiedzić Posterunek w poszukiwaniu naboi.",,,
12,AMMO_GL_40,40mm,40,20,VHARD,"Nabój 40 × 46 mm SR – z pociskiem o niskiej prędkości początkowej od 75 do 125 m/s, wystrzeliwany głównie z granatników ręcznych, np. amerykańskiego M203 i polskiego granatnika rewolwerowego RGP-40,",,,
13,AMMO_45ACP,".45"" ACP",2,50,HARD,"Sławne naboje do polowania na mamuty. Historię znasz, a ja dodam tylko, że są poddźwiękowe.",,,
14,AMMO_556,"5,56mm",3,40,HARD,"Tymi nabojami strzelają najróżniejsze spluwy. Ze zwyczajnych będzie to Ruger Mini-14 i M16, a z tych zupełnie niezwykłych – FN F2000 i M29. Nawet kałacha zrobili na tę amunicję! Chyba najpopularniejszy pośredni nabój w ZSA.",,,
15,AMMO_57,5.7x28mm,4,20,XHARD,"Pestki do tostera! Gdzie żeś je znalazł? Gadaj, ale już! To tylko atrapa? Szkoda, bo to niezłe naboje, do niezłej spluwy. Przez kevlar przechodzą jak rozgrzany nóż przez masło… no dobra to głupie porównanie, ale rozumiesz aluzję, prawda?",,,
16,AMMO_762AK,7.62×39mm,2,30,HARD,"Tylko te naboje wsadzisz do sławnego kałasznikowa! Mają dużą moc obalającą i stosunkowo łatwo je znaleźć, więc rozważ przezbrojenie się w ruski sprzęt. Poza tym strzelają nimi inne ruskie wynalazki, ale także Mini-30 – wersja Rugera Mini przystosowana do kalibru 7.62mm.",,,
17,AMMO_762TT,7.62×25mm,2,30,HARD,"Dawno, dawno temu pewien Niemiec nazwiskiem Mauser opracował naboje do swojego pistoletu. Okazały się bardzo skuteczne w likwidowaniu ludzi na znaczne dystanse, a sam pistolet zyskał miano klasyki rusznikarstwa. Opowiem ci kiedyś o nim, a teraz wróćmy do naboju Mausera. Po drugiej wojnie światowej przywłaszczyli go sobie Rosjanie i wsadzili go do tej wielgachnej Tetetki. I to jest ten sam nabój, który trzymasz w łapach.",,,
18,AMMO_762NT,7.62×51mm NATO,3,40,HARD,Od uderzenia cywilnej wersji tego naboju – .308 Winchester – zginął niejeden dziki zwierz. To cholernie popularna amunicja myśliwska. Szczególnie po wojnie dobrze się sprawdza w polowaniach na… maszyny.,,,
19,AMMO_9,9×19mm Luger,2,50,HARD,"Za Oceanem mówili na to Parabellum, co miało znaczyć “szykuj wojnę”. Ja tam na wojnę z Glockiem bym się nie wybierał, ale warto mieć na co dzień spluwę strzelającą tymi nabojami. Dlaczego? Bo to cholernie popularny nabój. Wszędzie nim zapłacisz za żarcie, czy paliwo i do strzelania jest więcej niż odpowiedni.",,,
20,AMMMO_BOLT,Bełt,2,40,EASY,Wyszlifowany kawał żelastwa wetknięty w drewno. ,,,
21,AMMMO_BOLT,Bełt metalowy,5,35,HARD,"Penetrator z hartowanej stali węglowej, lotka wytoczona z aluminium. Te bełty polecą dalej, a i poradzą sobie z kamizelką.","WEAPON_RANGE:20, ARMOR_PIERCING:1",,
22,AMMO_BUMERANG,Bumerang,20,20,AVERAGE,"Schludnie wycięty drewniany bumerang. Teoretycznie wraca do użytkownika, o ile nie utkwi komuś w głowie.",,,
23,AMMO_ARROW,Strzała,1,80,AVERAGE,"Ot, zwyczajna strzła  - kawał drewna z osadzonym grotem z wyklepanej, naostrzonej blachy.",,,
24,AMMO_ARROW,Strzała sportowa,5,20,LUCKY,"Wykonana z włówka węglowego, poobklejana napisami, znaczy się musiała być wykopane z jakiegoś dobrego sklepu myśliwego w jakimś Walmarcie. Poleci dalej, szybciej i celniej niż zwykła strzała.","WEAPON_RANGE:20, WEAPON_ACCURACY:10",,
25,AMMO_THROWN,Kamień,1,90,EASY,"Ciężki, wyważony kawał kamienia albo gruzu. Dobry do rzucania lub puszczania z procy",,,
26,AMMO_BLACKPOWDER,Kula do czarnoprochowca,1,60,EASY,"Odlana z ołowiu kula do broni czarnoprochowej. Potrzebujesz jeszcze prochu,",,,
27,AMMO_40,.40 S&W,2,50,HARD,Skoro są naboje 9mm do pistoletów i są 11.43mm to dlaczego by nie zrobić naboi 10mm? No bo już dawno je zrobili… Myśl o nich jak o 9mm Luger ze zwiększoną średnicą pocisku. Krzywdę robią porównywalną do amunicji .45 ACP.,,,
28,AMMO_50_MAGNUM,.500 A-square,8,15,VHARD,"Pozwól, że przedstawię ci słonia. Przed wojną żyły chyba w Europie… jeśli te zwierzaki zmutowały to ludzie mają tam teraz przerąbane. Cztery metry w kłębie, pięć ton żywej wagi. Do tego dwa wielkie kły wyrastające z mordy. A składa się jak origami po trafieniu pociskiem naboju .500 A-square.",,,
29,AMMO_46,4.6x30mm,3,25,HARD,"Coś jakby nabój na szczury… amunicja pośrednia do pistoletu? Malutki kaliber i duża prędkość lotu pocisku. Na pewno dobrze przechodzi przez pancerz. Strzela tym niemiecki MP7, całkiem popularny w oddziałach SWAT na terenie całego kraju. Przed wojną, rzecz jasna…",,,
30,AMMO_GL_40_RU,Granat 40mm VOG,60,15,VHARD,"Roskyjsky granat bezłuskowy 40mm. Produkują takie która po uderzeniu o ziemię podskakuje i wybuchają w powietrzu. Ale to nie ta, którą masz w ręku. Ta po prostu wybucha tam gdzie wyląduje.",,,
31,AMMO_SH_12_MAUL,12 Gauge Metalstorm,40,10,LUCKY,"MAUL (Multi-Shot Accessory Underbarrel Launcher) – półautomatyczna strzelba kalibru 12 (18,5 mm). Ważąca około 0,8 kg strzelba może być samodzielną bronią lub podwieszona do normalnego karabinu. Jest ładowana amunicją nieśmiercionośną lub różnego zastosowania, np. przeznaczoną do wybijania drzwi[4].",,,
32,AMMO_762_3006,.30-06 Springfield,3,25,HARD,"Nabój 30-06 został w czasie II wojny światowej przyjęty do uzbrojenia wielu krajów, po wojnie był używany między innymi w Belgii, Luksemburgu i Brazylii. Od 1954 roku w związku z wprowadzeniem standardowego naboju karabinowego NATO (7,62 × 51 mm) nabój 30-06 był stopniowo wycofywany z uzbrojenia, ale nadal jest produkowany jako amunicja do broni kolekcjonerskiej, myśliwskiej i sportowej.",,,
33,AMMO_GL_25,Granat 25mm,70,5,LUCKY,Granat programowalny,,,
34,AMMO_30,.30 Carbine,3,45,PROBLEMATIC,".30 Carbine (7.62×33mm) – amerykański nabój pośredni skonstruowany na początku lat 40, bazujący na pochodzącym z 1906 roku naboju .32 Winchester SL. Pierwszą seryjnie produkowaną bronią zasilaną tym nabojem był karabinek samopowtarzalny M1.",,,
35,AMMO_408,.408 Cheyenne Tactical,8,10,XHARD,"The .408 Cheyenne Tactical designated 408 Chey Tac (10.36×77mm) by the C.I.P.[2] is a specialized rimless, bottlenecked, centerfire cartridge for military long-range sniper rifles that was developed by Dr. John D. Taylor and machinist William O. Wordman. The round was designed with a possible military need for a cartridge for anti-personnel, anti-sniper and anti-materiel roles with a (supersonic) precision range of 2,200 yards (2,000 m).",,,
36,AMMO_416,.416 Barrett,9,10,XHARD,The .416 Barrett or 10.6×83mm centerfire rifle cartridge is a proprietary bottlenecked centrefire rifle cartridge designed in 2005. It is an alternative to the .50 BMG in long-range high-power rifles.,,,
37,AMMO_338,.338 Lapua Magnum,7,15,VHARD,"Nabój .338 (8,6 × 70 mm lub 8,58 × 70 mm) Lapua Magnum jest kompromisem pomiędzy standardowymi nabojami NATO o kalibrach 7,62 mm NATO i 12,7 mm NATO pozwalającym zbudować karabin wyborowy o zasięgu skutecznym powyżej 1000 m, a jednocześnie wymiarach i masie mniejszej niż wkbw.",,,
38,AMMO_300,.300 Winchester Magnum,5,25,VHARD,"Nabój .300 Winchester Magnum (7,62 x 67 mm, .300 Win Mag) - amerykański nabój karabinowy wprowadzony w roku 1963. Początkowo skonstruowany jako nabój myśliwski. Obecnie używany w policyjnych karabinach wyborowych.",,,
39,AMMO_939,9 x 39mm,5,15,XHARD,"Nabój 9 × 39 mm został opracowany przez zespół: konstruktor N.W. Zabielin i techonolog Ł.S. Dworianinow na początku lat 80. XX wieku. Początkowo pracowano nad nowym nabojem kalibru 7,62 mm o zwiększonej przebijalności, ale zmiana założeń taktycznych spowodowała porzucenie tego obiecującego kalibru. Założono, że nabój ma skutecznie razić cele w kamizelce kuloodpornej 6B2 z odległości 400 m. ",,,
40,AMMO_545,"5,45 x 39mm",3,20,HARD,"W latach 80. nabój 5,45 x 39 mm zaczął wypierać z uzbrojenia nabój 7,62 mm wz. 43 w większości armii państw Układu Warszawskiego. Pod koniec lat 80. nabój 5,45 x 39 mm przyjęto do uzbrojenia Ludowego Wojska Polskiego. ",,,
41,AMMO_THROWN,Ręczny granat dymny,25,40,AVERAGE,"Granat dymny – granat ręczny służący do oślepiania stanowisk obserwacyjnych i ogniowych przeciwnika, maskowania działań wojsk własnych, pozorowania pożarów obiektów własnych [1] oraz sygnalizacji (np. dla lotnictwa).",,,
42,AMMO_THROWN,Raca rozświetlająca,25,30,AVERAGE,"Raca – przyrząd pirotechniczny służący oświetleniu terenu (w przeciwieństwie do flary, która pełni głównie funkcję sygnalizacyjną).",,,
43,AMMO_THROWN,Granat gazowy,75,5,XHARD,Granat z gazem pieprzowym. Dziwne że jescze nie przegnił.,"EXP_D:25, INFLIECT_EFFECT:EFFECT_TEARGAS",,
44,AMMO_THROWN,Granat zaczepny,60,15,VHARD,Granat ręczny zaczepny – odłamkowy granat ręczny o donośności ok. 50 m i promieniu rażenia do 20 m.,"EXP_K:1, EXP_C:2, EXP_L:3, EXP_D:4, INFLIECT_EFFECT:EFFECT_DAZZLE",,
45,AMMO_THROWN,Granat obronny,100,5,XHARD,"Granat ręczny obronny – odłamkowy granat ręczny przeznaczony do zwalczania nacierającej piechoty przeciwnika. Zbudowany jest z grubościennej skorupy wypełnionej materiałem wybuchowym i zapalnika (najczęściej pirotechnicznego zapalnika czasowego). Granat obronny razi głównie odłamkami pochodzącymi ze skorupy. Jego skuteczny zasięg może sięgać 200 m, co przekracza możliwy zasięg rzutu i stwarza zagrożenie dla rzucającego, dlatego rzuca się je wyłącznie z ukrycia[1].","WEAPON_RANGE:-20, EXP_K:5, EXP_C:10, EXP_L:15, EXP_D:20, INFLIECT_EFFECT:EFFECT_DAZZLE",,
46,AMMO_127WYCHLOP,12.7×55mm STs-130,7,5,HARD,"The 12.7×55mm Subsonic cartridge is used in some Russian firearms such as VKS bullpup sniper rifle and ASh-12.7 bullpup battle rifle. The cartridge can carry a projectile weighing between from 59 grams (911 grains) and 76 g (1173 gr), yielding massive amounts of kinetic energy. The round can penetrate up to 16 mm (0.63 in) of steel at 200 meters or heavy body armor at 100 meters.",,,
47,AMMO_20MM,20x102mm,18,5,VHARD,,,,
