ID,Name,Description,,First stage description,,Second stage description,,Third stage description,Terminal stage description,First stage effect,Second stage effect,Third stage effect,Medication description
DIS_CALC_LUNG,Zwapnienie płuc,"Chorujesz na zwapnienie płuc? To oznacza, że będziesz miał raczej nikłe szanse podczas biegu. Na przykład, gdy spieprzasz przed wświekłym psem. Masz mniejszą, niż zdrowy człowiek, pojemność płuc. Owszem, na początku gry jeszcze nie cierpisz z tego powodu. Nie narzekaj, inni mają gorzej. Będziesz się leczył, to wszystko będzie grać",,"Masz krótszy oddech i łatwo dostajesz zadyszki. O bieganiu zapomnij. Odegraj to fajnie, to może Mistrz Gry podrzuci ci kilka opakowań leku.",,Oddech ci się dalej skraca. Dostajesz niekontrolowanych ataków kaszlu.,,"Oddech krótki, jak linijka pierwszoklasisty",Umierasz kaszląc i dławiąc się,"ATR_BUD:-2, ATR_ZRE:-2, SKILL_KONDYCJA:-30","ATR_BUD:-4, ATR_ZRE-4, SKILL_KONDYCJA:-60","ATR_BUD:-10, ATR_ZRE:-10, ATR_SPR:-2, ATR_PER:-2, SKILL_KONDYCJA:-90","Każde, które nie pozwala na odkładanie się wapna w organiźmie. Nazwy tych leków mają w sobie coś z calcium, np. Decalcit (dostępność 80%, 24 tabletki w opakowaniu) czy Calcidis (dostępność 60%, 50 tabletek w słoiczku). Jest powrzechnie dostępny, możesz kupić go nawet w zwykłej, przydrożnej aptece."
DIS_SAT_FEVER,Gorączka sobotniej nocy,"Zajebista nazwa, ale gdy na nią chorujesz nie jest wcale tak wesoło. Gorączka sobotniej nocy, to choroba, którą przywlekli ludzie z okolic Waszyngtonu, gdzie na początku wojny zdetonowano chyba połowę ziemskiego potencjału militanego: broń nuklearną, biologiczną, chemiczną. Wszystko, co tylko nadawało się do masowej eksterminacji. Cele były jasne - prezydent i reszta politoków. Retrowirus, którego tam użytko, pochodził, zdaje się, z laboratoriów rosyjskich, tak przynajmniej tłumaczyli to później jajogłowi. Nazwa wzięła się od filmu, w którym John Travolta tańczy jak paralityk podczas ataku padaczki. Dlaczego? A zajrzyj do opisu objawów, to będziesz wiedział.",,"Mało przyjemne. Pocisz się i masz niekontrolowane skurcze mięśni. Niektórych rzeczy nie zrobisz, choćbyś się zesrał, co w twoim stanie jest dość proste, w końcu zwieracze też są mięśniami, nie?",,"Nie możesz wykonywać żadnych precyzyjnych czynności - strzelać, otwierać zamków, prowadzić samochodu. Biegać także nie możesz. Rób często Przeciętny test Budowy, jeśli go nie przejdziesz - mdlejesz na kilka chwil.",,"Nie możesz przejść więcej niż dziesięć kroków. No dobra - jedenaście przejdziesz. Dwanaście też. Chodziło mi tylko o to, że chodzisz z trudem i nawala ci błędnik. Niekontrolowane skurcze mięśni powodują, żę zaczynasz tańczyć. Dosłownie - podrygujesz, jak małpa na drucie. Taniec jest niekontrolowany i po każdym ataku (Przeciętny test Budowy) padasz nieprzytomny i leżysz tak przez dłuższy czas.","Wygląda to, jakby na każdy twój mięsień można wykonać rzut k20, by określić w którą stronę się udaje. Umierasz.","ATR_ZRE:-3, ATR_BUD:-3, SKILL_ZASTRASZANIE-80, SKILL_PERSWAZJA:-80, SKILL_ZDOLNOSCIPRZYWODCZE:-80, SKILL_BLEF:-80","ATR_ZRE:-6, ATR_BUD:-6, SKILL_ZASTRASZANIE-90, SKILL_PERSWAZJA:-90, SKILL_ZDOLNOSCIPRZYWODCZE:-90, SKILL_BLEF:-90","ATR_ZRE:-10, ATR_BUD:-10, SKILL_ZASTRASZANIE-120, SKILL_PERSWAZJA:-120, SKILL_ZDOLNOSCIPRZYWODCZE:-120, SKILL_BLEF:-120","Valapren. Tylko i wyłącznie Lekarstwo, które produkowane było przez kilka lat w jednej fabryce, gdzieś na północnym wschodzie. Nikt nie wie gdzie - ludzie, którzy handlują lekami nie ujawniają tak łatwo swoich źródeł. Na szczęście zrobili tego straszne ilości, ale w tej chwili niestety jest na wyczerpaniu - źródełko wysycha, a poza tym w okolicy pojawili się mutanci. Valapren jest coraz trudniej dostępny, jeżli pytasz wędrownego handlarza lekami, czy ma pare pigułek - masz 20% szans, że tak. I jest bardzo drogi. Opakowanie to słoiczek z 20 pastylkami."
DIS_EBOLA,Przewlekła gorączka krwotoczna,"Gdy przed wojną agencje prasowe wspominały o wystąpieniu gdzieś na świecie gorączki krwiotocznej - ludzie wpadali w panikę. Na szczęście tylko do 2013 roku, gdy wynaleziono na nią lekarstwo. Wirus Ebola, który wywołuje gorączkę krwiotoczną, to jeden z najbardziej złośliwych wirusów w historii medycyny. Gdy dodatkowo został wzbogacony o kilka zjadliwych cech, był doskonałą wręcz bronią biologiczną. Zabija 50% - 80% chorych. Na szczęście na terenie Stanów większość ludzi należy do tej mniejszości, która jest odporna na jego działanie. Ale nie wszyscy. Jeśli chorujesz na przewlekłą gorączkę krwiotoczną - masz cholernego pecha. Jeśli nie będziesz zażywał leków, wszystko, oprócz twoich kości, zamieni się w galaretkę.",,"Zaczynasz się źle czuć. Na skórze pojawiają ci się wybroczyny - podskórne wylewy krwi. Jest to wynikiem pojawienia się skrzepów we krwi, która zaczyna płynąć coraz wolniej, a skrzepy przywierają do ścian naczyń krwionośnych.",,"Jeśli nie zatrzymasz inwazji wirusa, zacznie on dosłownie rozkładać twoje ciało od wewnątrz. Ten mały skurwysyn szczególnie sobie upodobał twoją tkankę łączną. Mnoży się tam, jak głupi. Tkanka przekształca się w papkę. Obumiera i rozpływa się pod skórą, na której, oprócz wybroczyn, pojawiają się białe plamy. Wygląda to, nie wiem, jak pudding z tapioki. Otwierają się rany, z których cieknie krew. Jest jej cholernie dużo, bo kapie ci z każdego naturalnego otworu ciała: z oczu, uszu, nosa, dziąseł, gruczołów ślinowych.",,"Język staje się czerwony i nabrzmiały, nie możesz mówić. Nikogo nie oczarujesz skórą miękką jak galaerta, którą możesz odrywać płatami od reszty ciała. Rzygasz czarną, przetrawioną krwią - puszczają ci wszystkie bariery w organizmie. Serce ci mięknie - dosłownie.","Ebola niszczy w znacznym stopniu żywą tkankę, chociaż ty jeszcze żyjesz. Wywołuje rozległą martwicę, która powoduje rozpływanie się twojego ciała, jak galareta. Skóra języka odziela się od mięśnia i zostaje połknięta lub wypluta. To cholernie boli. Nerki zablokowane skrzepami krwi przestają działać, w wyniku czego zatruwasz się własnymi szczynami. Błony śluzowe, skóra, wszystko się rozpływa. Horror. Umierasz w drgawkach rozchlapując swoją krew dookoła. Zakażona krew pada na innych ludzi. Tak właśnie przenosi się ebola. Jeśli zostałeś ochlapany - zrób sobie Trudny test Budowy. Bez żadnego Suwaka. Jeśli oblałeś (nomen omen) - wiesz co masz robić. Nową postać.","ATR_ZRE:-2, ATR_BUD:-4, ",,,"Ebolakiller. Często możesz kupić na sztuki. Dostępność tego jest nienajlepsza - około 40% szans, że na to trafisz. Lepiej kupuj więcej, bo skutki tej choroby są straszne. Uważaj, jeśli masz słabe nerwy - nie choruj na nią, bo będziesz musiał przeczytać objawy. Zostałeś ostrzeżony."
DIS_MOUNT,Mount Rushmore,"Ta choroba nazywa się jak góra, w której wykute były twarze prezydentów USA. Wywołuje ją pozostałość kolejnej broni biologicznej. Tym razem jednak pochodzi z okolic Vegas.",,"To jedna z niewielu chorób, która ci coś dodaje - masz lekko zesztywniałe mięśnie, a najbardziej te twarzy. Kamienna twarz musi dawać ci jakieś bonusy. Ale to nie wszystko. To samo sztywnienie mięśni to jednak także sztywne paluszki. Wszystko, co wymaga szybkiego poruszania się, jest dla ciebie problemem.",,"W przyrodzie nic nie ginie: oddawaj bonus. Twoja twarz jest kamienna (dlatego Mount Rushmore to fajny pomysł, nie?). Masz kłopoty z mówieniem, jedzeniem czy poruszaniem się.",,"Jesteś sztywny, jak te, no, po Viagrze. No wiesz, dosłownie stoisz, nie możesz właściwie się poruszać.","Gdy ktoś ci powie, że masz serce z kamienia, nie obrażaj się. Mówi prawdę. Umierasz",,,,"Lekarstwem na tą chorobę jest każdy środek rozkurczowy. Najbardziej dostępne są trzy z nich, a każdy ma inny efekt uboczny. Po wstrzyknięciu Turbokuraryny (dostępność 70%) występuje godzinne porażenie mięśni twarzy i trudności z przełykaniem. Benzodiazepiny (dostępność 50%) jako lek miorelaksacyjny dzaiłający na wszystkie mięśnie poprzecznie prążkowane, powoduje senność i otępienie (+20% na dwie godziny po zażyciu), a Progabid (dostępność 40%) wywołuje drżenie nóg i rąk (+10% do czynności manualnych)"
DIS_ALIEN,Syndrom Obcego,"Był kiedyś taki film: ganiał w nim potworek, który zamiast krwi miał stężony kwas. Jeśli zaświeciły ci się teraz oczy, to je zgasimy - nie będziesz miał kwaśnej krwi ani dwóch szczęk. Zwiększy się za to kwasowość potu. To choroba genetyczna, będąca skutkiem mutacji. Mało przyjemna, ale raczej bezpieczna.",,"Na skutek zwiększonej kwasowości potu, zaczyna się swędzieć skóra. Nie jesteś w stanie się rozglądać, bo musisz się drapać, albo jeszcze lepiej - oblewać wodą.",,Zaczynasz śmierzieć. W dodatku robią ci się odparzenia na skórze,,"Ból staje się nie do zniesienia. Smierdzusz, jak śmierdziałeś i twoja sytuacja nie może się już w tej kwestii pogorszyć. Po wyjściu z choroby dalej jesteś szpetny, więc załatw sobie jakąś fajną maskę.","A jednak może się pogorszyć. Nie umierasz na coś takiego. Po wejściu w stan terminalny masz jedynie mnóstwo odparzeń, więc gdy wyzdrowiejesz, wygląd nie wróci już do normy, tak już zostanie. Zasady zdrowienia jak w przypadku stanu krytycznego.",,,,"Coś, co obniża kwasowość potu. Możesz wymyślić jakąś fajną nazwę. Na rynku możesz dostać Pinic (dostępność 60%), sprzedawany na butelki, bo to syrop. Z jednej butelki starczy na 50 łyżek."
DIS_KIDNEY,Chore nery,"Twoje nerki, na skutek przebytych w przeszłości chorób, są w strzępach. Nie działają poprawnie i czujesz to za każdym razem, gdy np. napijesz się piwa. Przed wojną można było się leczyć dializami. Dzisiaj znalezienie sprawnego aparatu zakrawa na cud. Na szczęście są środki farmakologiczne.",,"Łatwo pomylić z niewyspaniem - jesteś zmęczony, osłabiony, kleją ci się oczy, masz problemy z koncentracją.",,"Nie chce ci się jeść, często chodzisz w krzaki za potrzebą, zwłaszcza nocą - bez efektu. Jest ci duszno, a ciało masz obrzęknięte - pochniesz od wody. Nie możesz się skoncentrować.",,"Leje się z ciebie z obu stron: rzygasz jak kot i masz sraczkę. Za to nie sikasz. Pierwsze i drugie prowadzi do odwodnienia. Trzecie - do mocznicy, czyli zatrucia organizmu moczem.","Wytwory przemiany materii nie wydalone przez nerki ""rozsadzają"" cię od środka. Umierasz na skutek mocznicy.",,,,"Preparaty moczopędne, np. Uregyt, do tego kwas foliowy i kreparaty żelaza (dostępność każdego to 80%). Muszą być mieszane razem, osobno działają ze skutecznością 80%. Mieszanka posiada dostępność 50%."
DIS_ALLERGY,Alergia,"Mój dziadek, który przeżył wojnę, opowiadał mi, że na przełomie tysiącleci, na alergię cierpiały rzesze ludzi. A dziś? Dziś nie ma już rzesz ludzi, ale alergicy jak byli, tak są. Alergia to tak powrzechna choroba, że właściwie nie powinna się tutaj znaleźć. Jak mawiał staruszek Bill Gates: to nie wada, to cecha. Jeśli twoja postać choruje na alergię, musisz wylosować alergen, czyli substancję, która się uczula. Tutaj panuje duża dowolność - ale żeby nie było za łatwo, losujesz spośród kategorii, które niestety dość często będą się pojawiać na sesnach. Rzuć K6: 1) Gęsta roślinność, kontakt z roślinami; 2) Pierze i sierść zwierząd, czyli po prostu większość zwierząt; 3) Kurz, stare domy; 4) Wszelkie pokarmy pochodzenia roślinnego; 5) Wszelkie pokarmy pochodzenia zwierzęcego; 6) Masz podwójną alergię! Rzuć dwa razy, ale nie bój się, jeśli znów trafisz tutaj, powtórz ten rzut. Uwaga: Pierwsze symptomy występują tylko w pobliżu allergenu. Ale za to pojawiają się natychmiast, bez rzutu k20. Jeśli wydostaniesz się spod jego wpływu - przechodzą po jednym dniu bez zażywania leków. Rzuty k20 na szansę przejścia choroby w kolejne stany wykonuje się nie raz na dzień, a raz na 3 godziny.",,"Zazwyczaj katar sienny. Kichasz, prychasz i charczysz. Załzawionymi oczami niewiele zobaczysz, a zatkanym nosem nic nie wyniuchasz. Widziałeś kiedyś zasmarkanego amanta? W przypadku pokarmów dostajesz wysypki i drżą ci ręce.",,"Nie ukryjesz się już w wysokiej trawie, bo zdradzi cię siąkanie nosem i kichanie. O skradaniu możesz zapomnieć. W przypadku pokarmów skręca się, pocisz się i rzygasz.",,"Nadchodzi astma. Jeśli zapuścisz się tak, że jej dostaniesz, to zmieniają się nieco zasady choróbsk. Taki mały wyjątek: jeśli wyleczysz się z astmy, nie będziesz miał permanentnych zmian we Współczynnikach. W zamian za to, za każdym razem, gdy znajdziesz się w zasięgu alergenu - wpadasz od razu w stan ostry. Mało przyjemna perspektywa, co? Analogicznie w przypadku uczulenia na pokarmy.","Astma dusi. Nie możesz złapać oddechu, więc umierasz. W przypadku pokarmów - rzygasz własnymi wnętrznościami i umierasz.",,,,"Zależne od rodzaju alergii, ale zazwyczaj pomagają leki przeciwhistaminowe (40 tabletek w opakowaniu, dostępność 30%)"
DIS_BOSTON,Szaleństwo Boston,"Szaleństwo bostońskie, znane też pod nazwą gorączka bostońska, to skutek ataku biologiczno-chemicznego. Na to niegdyś piękne miasto spuszczono kilka rodzajów bakterii, a do tego spryskano mieszkańców jakimś chemicznym świństwem. Skutek był taki, że ci, co nie umarli od bakterii, umarli od bakterii, które błyskawicznie zmutowały. Tworząc, rzecz jasna nowe, zjadliwe szczepy, które okazały się nadzwyczaj skuteczne - ludzie, którzy zarazili się nimi, stawali się agresywnymi bestiami.",,"Łatwo Cię zirytować, a nerwus nie wzbudza zaufania ludzi. Denerwuje cię byle co, ale raczej kończy się to na narzekaniu i warczeniu na innych graczy, niż na rękoczynach.",,"Oj, łatwo cię zdenerwować, łatwo. Nie zastanawiasz się raczej nad finezyjnym sposobem rozwiązania problemu, ale napieprzasz kijem, aż urwiesz, złamiesz, po prostu - zniszczysz.",,"Oj, łatwo cię zdenerwować, bardzo, bardzo łatwo. Za każdym razem, gdy dochodzi do różnicy zdań, rwiesz się do bitki. Nie obchodzi cię, czy twój przeciwnik to chuchrowaty naukowiec, czy niedźwiedź z zoo. Powstrzyma cię tylko solidne klepanie michy. Argumenty już nie działają.","Żaden gracz nie dopuści, żeby kolega wpadł w taki stan. Prędzej go zabiją łyżeszką do herbaty. Stan terminalny w tym przypadku to kompletny, nieodwracalny i cholernie niebezpieczny berserk. Chore monstrum rzuca się na pierwszego lepszego człowieka i walczy do upadłego - nie czuje bólu, strachu ani zmęczenia. Obrażenia nie wywołują u niego żadnych efektów. Nie słabnie, chodzi na kikutach odciętych nóg. Walczy, aż zginie.",,,,"Szaleństwo bostońskie okazało się być na tyle groźne, że ocalałe laboratoria medyczne na gwałt szukały antybiotyku na tę chorobę. Trudno było je znaleźć - większość leków jest nieskuteczna: ten który zabija jeden szczep, nie rusza nawet drugiego. Te małe gówienka mutują bowiem potwornie szybko. Przekładając to na ludzki język - musisz mieć mieszankę trzech leków, które osobno nie działają: Alef (dostępność 50%), Bet i Gimel (dostępność obu to 40%). Można też dostać mieszankę (dostępność 30%)"
DIS_TRUMAN,Syndrom Trumana,"W Kalifornii tę chorobę nazywają matołkiem. Dobrze się domyślasz - chory na matołka głupieje. Przywlekli ją emigranci z Europy, gdy ich ławica w 2024 przypłynęła ocean na tratwach z trzciny. Kon-Tiki sobie urządzili, skubańcy. Nazwa wzięła się od generała Mitchella Thurmana, tego skurwiela, który kazał strzelać do emigrantów. To on był pierwszą ofiarą - wsławił się tym, że kazał swoim żołnierzom atakować pole kaktusów. Inne, przywleczone przez Europejczyków choroby jakoś się nie przyjęły w Ameryce. Tylko matołek się ostał, jakbyśmy mieli za mało własnych głupków.",,"Zaczynają się twoje problemy z koncentracją. Czynności wymagające skupienia uwagi są dla ciebie trudniejsze niż dla innych. Zaczynasz mieć kłopoty z rzeczami, które dotychczas były dla ciebie łatwe - np. z liczeniem pieniędzy albo ocenieniem czy kula wystrzelona z pistoletu trafi w biegnącego mutanta. Te problemy pojawiają się wtedy, kiedy najbardziej potrzebujesz skupienia, rzecz jasna.",,"IQ spada ci, jak śmieg w zimie. Tylko uważaj na zaspy. Zawsze mówiuę w takiej sytuacji: oj, bracie masz kłopot. Teraz też tak zrobię: masz na prawdę spore kłopoty.",,"Jesteś debilem. Slinisz się i nie potrafisz przeczytać tekstu ""Knajpa"". To jeszcze pół biedy, ale gdy przeoczysz napisa ""Uwaga, zły pies"" - może być źle. Nikomu też nie zaimponuje śliniący się idiota. Zachowujesz się jak matoł: leziesz prosto pod koła ciężarówki, a w sytuacji, gdy kule świszczą koło uszu, śpiewasz skoczne  piosenki, stepując na barykadzie.","Na syndrom Thurmana się nie umiera. Ale i tak nie pograsz sobie swoim herosem - stajesz się warzywem, które robi pod siebie i na gówno mówi ""papu"". Oddaj kartę postaci.",,,,"Wbrew temu, co mogłoby się wydawać, amerykańskie laboratoria zareagowały dość szybko - wtedy jakieś w ogóle działały. Zidentyfikowali przyczynę choroby i wyprodukowali coś, co powstrzymuje postęp Syndromu Thurmana. Jest to zastrzyk, który trzeba przyjmować dożylnie (musisz mieć strzykawkę i czystą igłę, jeżli nie masz czystem igły, możesz wszczepić sobie jakieś paskudztwo). Nazywa się toto Reminex i znaleźć możesz z prawdopodobieństwem 40%. W pudełku masz 20 porcji."
DIS_TREMOR,Drgawki,"Właściwie nazwa tej choroby mówi już wszystko. Tylko symptomy się z czasem pogłębiają. Trzęsie tobą na potęge. Do tego stopnia, że w kolejnych stadiach nie możesz podnieść łyżeczki od herbaty do ust, nie mówiąc już o celowaniu z pistoletu. Choroba polega chyba na jakimś uszkodzeniu mózgu - impulsy nerwowe są źle przewodzone i stąd drgawki.",,"Zaczynasz mieć trudności z opanowaniem rąk. Cały drżysz, jakby było ci zimno albo jakbyć miał wysoką gorączkę.",,"Ręce trzęsą ci się tak, że nie jesteś w stanie utrzymać poprawnie pistoletu. Podczas sikania nie zrobisz już fajnego wzorku.",,"Raz dziennie o wybranej przez Mistrza Gry porze, zrób Trudny test Buowy. Jeśli go nie przejdziesz - padasz na ziemię, kopiesz nowami piach i drzesz rękami glebę. Masz regularny atak padaczki. Dodatkowym zagrożeniem jest to, że podczas ataku możesz zrobić sobie krzywdę - masz na to jedną szansę na dwie - czyli 50%. Mistrz Gry wymyśli dla ciebie jakiś efekt","Ataki padaczki są tak częste, że niemożliwiają normalne funkcjonowanie. W dodatku wycieńczony organizm odmawia posłuszeństwa - umierasz.",,,,"Jest na to lekarstwo, ale nie wiem, jak się nazywa (Relanium czy jakoś tak) i z czego się składa. Wystarczy, że poprosisz o lekarstwo na drgawki i masz jakieś 40% szansy, że to, co dostaniesz, będzie skutkowało."
