ID_Lek,Nazwa,Choroba,Opakowanie,Cena,Dostępność,Description,Flavor text,Effects,Czas w godzinach utrzymywania się efektu
DRUG_DECALIT,Decalit,DIS_CALC_LUNG,24,2,80,Tabletki Decalcitu w blistrze. Nowy ma 24 tabletki.,Powrzechny lek na zwapnienie płuc.,,
DRUG_CALCIDIS,Calcidis,DIS_CALC_LUNG,50,2,60,Plastikowy słoik tabletek Calcdisu. Nowy ma 50 tabletek.,Powrzechny lek na zwapnienie płuc.,,
DRUG_VALAPREN,Valapren,DIS_SAT_FEVER,20,5,20,Słoiczek z pastylkami Valeprenu. Nowy ma 20 pastylek.,"Valapren produkowany był przez kilka lat w jednej fabryce, gdzieś na północnym wschodzie. Nikt nie wie gdzie - ludzie, którzy handlują lekami nie ujawniają tak łatwo swoich źródeł. Na szczęście zrobili tego straszne ilości, ale w tej chwili niestety jest na wyczerpaniu - źródełko wysycha, a poza tym w okolicy pojawili się mutanci. Valapren jest coraz trudniej dostępny i droższy. Opakowanie to słoiczek z 20 pastylkami.",,
DRUG_EBOLAKILLER,Ebolakiller,DIS_EBOLA,1,4,40,"Duża tabletka, indywidualnie pakowana.","Ebolakiller. Często możesz kupić na sztuki. Dostępność tego jest nienajlepsza - około 40% szans, że na to trafisz. Lepiej kupuj więcej, bo skutki tej choroby są straszne. ",,
DRUG_TURBOKURARYNA,Tubokuraryna,DIS_MOUNT,1,1,70,"Fiołka do zastrzyku. Wykonując zastrzyk w brudzie, rzuć test Kondycji na infekcję.",Po wstrzyknięciu Turbokuraryny występuje godzinne porażenie mięśni twarzy i trudności z przełykaniem,,
DRUG_BENZODIAZEPINY,Benzodiazepiny,DIS_MOUNT,1,2,50,"Fiołka do zastrzyku. Wykonując zastrzyk w brudzie, rzuć test Kondycji na infekcję.","Benzodiazepiny jako lek miorelaksacyjny dzaiłający na wszystkie mięśnie poprzecznie prążkowane, powoduje senność i otępienie (+20% na dwie godziny po zażyciu),",,
DRUG_PROGABID,Progabid,DIS_MOUNT,1,3,40,"Fiołka do zastrzyku. Wykonując zastrzyk w brudzie, rzuć test Kondycji na infekcję.",Progabid wywołuje drżenie nóg i rąk (+10% do czynności manualnych),,
DRUG_PINIO,Pinic,DIS_ALIEN,50,1,60,"Butla śmierdzącego, gęstego, brązowego syropu w ciemnym szkle.","Pinic obniża kwasowość potu. Na rynku sprzedawany na butelki, bo to syrop. Z jednej butelki starczy na 50 łyżek.",,
DRUG_UREGYT,Uregyt [proszek w gramach],DIS_KIDNEY,1,2,80,Gramowa samarka proszku. ,"Dopiero mieszanka Uregytu, Kwasu Foliowego i Preparatów Żelaza tworzy lek na chore nery. Sam Uregyt ma 50% szans zadziałać.",DRUG_EFFECTIVENESS:50,
DRUG_KWASFOLIOWY,Kwas Foliowy [proszek w gramach],DIS_KIDNEY,1,1,80,"Gramowa samarka proszku. Dopiero mieszanka Uregytu, Kwasu Foliowego i Preparatów Żelaza tworzy lek na chore nery.","Dopiero mieszanka Uregytu, Kwasu Foliowego i Preparatów Żelaza tworzy lek na chore nery. Sam Kwas Foliowy ma 50% szans zadziałać.",DRUG_EFFECTIVENESS:50,
